ticker,name,sector,sector_id,detail_url
UTMVF,Meristem Value Fund,Other Financial Institutions,24,/compDetail.php?s=UTMVF&p=qs
UTNDI,CHAPEL HILL DENHAM NIG. INFRAS DEBT FUND,Other Financial Institutions,24,/compDetail.php?s=UTNDI&p=qs
UTNEW,NewGold Exchange Traded Fund,Other Financial Institutions,24,/compDetail.php?s=UTNEW&p=qs
UTSIA,SIAML Pension ETF 40,Other Financial Institutions,24,/compDetail.php?s=UTSIA&p=qs
UTSKF,SFS Real Estate Investment Trust,Real Estate,28,/compDetail.php?s=UTSKF&p=qs
UTSTB,STANBIC ETF 30,Other Financial Institutions,24,/compDetail.php?s=UTSTB&p=qs
UTVBF,VETIVA BANKING  ETF,Other Financial Institutions,24,/compDetail.php?s=UTVBF&p=qs
UTVCF,VETIVA  CONSUMER  GOODS  ETF,Other Financial Institutions,24,/compDetail.php?s=UTVCF&p=qs
UTVGF,Vetiva Griffin Fund,Other Financial Institutions,24,/compDetail.php?s=UTVGF&p=qs
UTVIF,VETIVA  INDUSTRIAL  ETF,Other Financial Institutions,24,/compDetail.php?s=UTVIF&p=qs
UTVSF,VETIVA S & P NIGERIA SOVEREIGN BOND ETF,Other Financial Institutions,24,/compDetail.php?s=UTVSF&p=qs
UTX,United Textile Mills PLC,Textiles,30,/compDetail.php?s=UTX&p=qs
VFD,VFD Group,Other Financial Institutions,24,/compDetail.php?s=VFD&p=qs
VIT,Vitafoam Nigeria PLC,Industrial Domestic Products,18,/compDetail.php?s=VIT&p=qs
VON,Vono Products PLC,Industrial Domestic Products,18,/compDetail.php?s=VON&p=qs
WAG,W A Glass Ind. PLC,Packaging,25,/compDetail.php?s=WAG&p=qs
WEM,Wema Bank PLC,Banking,5,/compDetail.php?s=WEM&p=qs
WTN,Wiggins Teape Nigeria PLC,Computer and Office Equipment,10,/compDetail.php?s=WTN&p=qs
ZAI,ZICHIS AGRO ALLIED INDUSTRIES PLC,Agriculture/Agro Allied,1,/compDetail.php?s=ZAI&p=qs
ZEN,Zenith Bank PLC,Banking,5,/compDetail.php?s=ZEN&p=qs
